Club,Type,Target,Total,Side,Shot Quality,Date,Lie,End Lie,Quality,Notes
 Dr, Driving,444.2534918,182.5273988,19, 20 Handicap, 2025-12-12 18:42:26 +0000, Tee, Rough, Center, #push#high
 4H, Approach,275.1624978,150.0927048,-4, Pro, 2025-12-12 18:42:26 +0000, Rough, Fairway, Center, #straight#normal#intended
 7I, Approach,125.0815126,132.2879212,6, 10 Handicap, 2025-12-12 18:42:26 +0000, Fairway, Fairway, Center, #straight#normal#intended
 Pu, Short,12.36844202,11.88920835,7, Pro, 2025-12-12 18:42:26 +0000, Fairway, Green, holed,
 Pu, Putting,1.015578154,1.015578154,-6, Pro, 2025-12-12 18:42:26 +0000, Green, Green, ,
 5H, Approach,150.5672462,138.7403042,4, 5 Handicap, 2025-12-13 18:52:15 +0000, Tee, Green, Toe, #straight#low
 Pu, Putting,17.18258789,17.35919171,6, Pro, 2025-12-13 18:52:15 +0000, Green, Green, right,
 Pu, Putting,0.33100518,0.331004616,-3, Pro, 2025-12-13 18:52:15 +0000, Green, Green, holed,
 Dr, Driving,443.0816321,194.3248813,5, 10 Handicap, 2025-12-13 18:52:15 +0000, Tee, Fairway, Center, #straight#normal#intended
 4H, Approach,248.8914875,120.2136016,-10, 10 Handicap, 2025-12-13 18:52:15 +0000, Fairway, Rough, Heel, #draw#straight#low
 6I, Approach,132.5862195,106.3812203,-6, 5 Handicap, 2025-12-13 18:52:15 +0000, Rough, Fairway, Center, #fade#straight#normal#intended
 PW, Short,27.22324122,28.52594195,-4, Pro, 2025-12-13 18:52:15 +0000, Fairway, Green, Center, #straight#normal#intended
 Pu, Putting,1.319664001,1.31966443,6, Pro, 2025-12-13 18:52:15 +0000, Green, Green, ,
 5H, Approach,154.3280412,135.5347009,-7, 10 Handicap, 2025-12-13 18:52:15 +0000, Tee, Fairway, Low, #straight#low
 Pu, Short,18.81652809,14.00414023,-7, 10 Handicap, 2025-12-13 18:52:15 +0000, Fairway, Green, ,
 Pu, Putting,6.457323682,6.717162415,-5, 15 Handicap, 2025-12-13 18:52:15 +0000, Green, Green, ,
 Pu, Putting,0.261307683,0.261307683,-3, Pro, 2025-12-13 18:52:15 +0000, Green, Green, holed,
 Dr, Driving,308.2688728,171.8660486,5, 0 Handicap, 2025-12-13 18:52:15 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,150.4826317,142.3934768,13, 25 Handicap, 2025-12-13 18:52:15 +0000, Fairway, Recovery, Center, #push#normal
 SW, Short,29.82969952,27.34708938,5, Pro, 2025-12-13 18:52:15 +0000, Recovery, Green, ,
 Pu, Putting,3.940553413,3.940553413,3, 25 Handicap, 2025-12-13 18:52:15 +0000, Green, Green, ,
 Pu, Putting,0.6096,0,-6, Pro, 2025-12-13 18:52:15 +0000, Green, Green, holed,
 Dr, Driving,215.3431277,152.9615357,-3, 25 Handicap, 2025-12-13 18:52:15 +0000, Tee, Rough, Toe, #fade#straight#normal
 9I, Approach,92.58978477,79.89903866,-6, 10 Handicap, 2025-12-13 18:52:15 +0000, Rough, Rough, Low, #fade#straight#low
 SW, Short,14.76924844,14.37346594,-3, Pro, 2025-12-13 18:52:15 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,1.302286294,1.302286294,-5, Pro, 2025-12-13 18:52:15 +0000, Green, Green, ,
 5H, Approach,140.4457844,103.4805479,4, 15 Handicap, 2025-12-13 18:52:15 +0000, Tee, Fairway, Low, #straight#low
 8I, Short,37.40874653,37.40874653,-7, Pro, 2025-12-13 18:52:15 +0000, Fairway, Green, Center, #straight#low#intended
 Pu, Putting,3,0,3, 25 Handicap, 2025-12-13 18:52:15 +0000, Green, Green, ,
 Pu, Putting,0.6096,0,4, Pro, 2025-12-13 18:52:15 +0000, Green, Green, holed,
 Dr, Driving,245.1665599,159.4184246,43, 15 Handicap, 2025-12-13 18:52:15 +0000, Tee, Rough, Center, #slice#straight#normal
 PW, Approach,87.4616736,70.93628198,0, 10 Handicap, 2025-12-13 18:52:15 +0000, Rough, Fairway, Toe, #pull#low
 PW, Short,24.83090535,26.25774342,-5, Pro, 2025-12-13 18:52:15 +0000, Fairway, Green, Low, #straight#low#intended
 Pu, Putting,1.426838178,1.426838178,5, Pro, 2025-12-13 18:52:15 +0000, Green, Green, ,
 4H, Driving,177.0755349,90.7637201,3, 25 Handicap, 2025-12-13 18:52:15 +0000, Tee, Fairway, Low, #straight#low
 6I, Approach,98.27835132,78.44243695,-6, 15 Handicap, 2025-12-13 18:52:15 +0000, Fairway, Fairway, Center, #straight#low#intended
 SW, Short,19.84508064,18.36122747,3, Pro, 2025-12-13 18:52:15 +0000, Fairway, Green, Center, #straight#low#intended
 Pu, Putting,1.553259867,1.553259662,-7, 25 Handicap, 2025-12-13 18:52:15 +0000, Green, Green, ,
 Pu, Putting,0.6096,0,6, Pro, 2025-12-13 18:52:15 +0000, Green, Green, holed,
 Dr, Driving,441.6641715,173.7981693,4, 15 Handicap, 2025-12-13 18:52:15 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,272.8995036,140.5593785,-11, 10 Handicap, 2025-12-13 18:52:15 +0000, Fairway, Rough, Center, #draw#straight#normal
 4H, Approach,132.342508,131.6175032,6, 5 Handicap, 2025-12-13 18:52:15 +0000, Rough, Rough, Center, #straight#normal
 PW, Short,14.41704184,17.40870245,3, Elite Am, 2025-12-13 18:52:15 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,3.025942733,3.025942733,-3, 25 Handicap, 2025-12-13 18:52:15 +0000, Green, Green, ,
 Pu, Putting,0.6096,0,-4, Pro, 2025-12-13 18:52:15 +0000, Green, Green, holed,
 Dr, Driving,430.5245375,147.8726084,-4, 20 Handicap, 2025-12-25 19:27:49 +0000, Tee, Fairway, Center, #straight#normal#intended
 4H, Approach,286.7405609,146.2800466,15, 10 Handicap, 2025-12-25 19:27:49 +0000, Fairway, Rough, Center, #push#normal
 6I, Approach,152.7438195,44.83793281,6, 15 Handicap, 2025-12-25 19:27:49 +0000, Rough, Fairway, Center, #straight#low#intended
 7I, Approach,110.7376711,112.9717879,-4, 15 Handicap, 2025-12-25 19:27:49 +0000, Fairway, Rough, Center, #fade#straight#normal
 PW, Short,14.23049292,18.88752373,-3, 5 Handicap, 2025-12-25 19:27:49 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,4.657826168,5.021830534,4, 25 Handicap, 2025-12-25 19:27:49 +0000, Green, Green, left,
 Pu, Putting,0.6096,1.676104004,7, Pro, 2025-12-25 19:27:49 +0000, Green, Green, holed,
 4H, Driving,282.6800448,115.9830392,-4, 20 Handicap, 2025-12-25 19:27:49 +0000, Tee, Rough, Center, #fade#straight#normal
 4H, Approach,166.7570954,131.1158578,-16, 10 Handicap, 2025-12-25 19:27:49 +0000, Rough, Rough, Center, #draw#straight#normal#intended
 SW, Short,35.7193379,39.60903392,4, Pro, 2025-12-25 19:27:49 +0000, Rough, Green, Center, #straight#high#intended
 Pu, Putting,4.3713664,6.171210435,5, 25 Handicap, 2025-12-25 19:27:49 +0000, Green, Green, long,
 Pu, Putting,1.804354397,1.804354397,-3, Pro, 2025-12-25 19:27:49 +0000, Green, Green, holed,
 Dr, Approach,187.9742402,163.7057678,4, 10 Handicap, 2025-12-25 19:27:49 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 PW, Short,35.04624005,28.30729376,5, Elite Am, 2025-12-25 19:27:49 +0000, Fairway, Green, Center, #straight#low#intended
 Pu, Putting,3,7.104520952,-3, 25 Handicap, 2025-12-25 19:27:49 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,7, Pro, 2025-12-25 19:27:49 +0000, Green, Green, holed,
 Dr, Driving,321.883887,176.1328151,-3, 0 Handicap, 2025-12-25 19:27:49 +0000, Tee, Fairway, Center, #straight#normal#intended
 5H, Approach,149.8894887,134.416144,4, 15 Handicap, 2025-12-25 19:27:49 +0000, Fairway, Rough, Center, #fade#straight#normal
 9I, Short,28.14642037,36.82175618,-6, 5 Handicap, 2025-12-25 19:27:49 +0000, Rough, Green, Center, #straight#low
 Pu, Putting,7,8.11795795,-6, 20 Handicap, 2025-12-25 19:27:49 +0000, Green, Green, left,
 Pu, Putting,0.896347824,0.896347824,-5, Pro, 2025-12-25 19:27:49 +0000, Green, Green, holed,
 5H, Approach,160.6060621,124.9354995,-7, 15 Handicap, 2025-12-25 19:27:49 +0000, Tee, Rough, ,
 PW, Short,36.45135075,25.20256012,-3, 5 Handicap, 2025-12-25 19:27:49 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,11.25071596,9.979366219,3, 15 Handicap, 2025-12-25 19:27:49 +0000, Green, Green, short,
 Pu, Putting,1.271463724,1.271463724,4, Pro, 2025-12-25 19:27:49 +0000, Green, Green, holed,
 Dr, Driving,427.4516228,124.2739985,0, 25 Handicap, 2025-12-25 19:27:49 +0000, Tee, Rough, Center, #pull#normal
 4H, Approach,304.3205976,122.4188812,-3, 10 Handicap, 2025-12-25 19:27:49 +0000, Rough, Rough, Center, #straight#high
 5H, Approach,181.9313833,81.89589391,16, 10 Handicap, 2025-12-25 19:27:49 +0000, Rough, Fairway, Center, #push#normal
 8I, Approach,106.4411018,52.81507843,0, 25 Handicap, 2025-12-25 19:27:49 +0000, Fairway, Rough, Low, #pull#low
 SW, Approach,58.93135408,46.37723085,3, 15 Handicap, 2025-12-25 19:27:49 +0000, Rough, Rough, Center, #straight#normal#intended
 Pu, Short,18.51444974,20.47398577,3, Pro, 2025-12-25 19:27:49 +0000, Rough, Green, ,
 Pu, Putting,0.6096,2.792896864,-4, Pro, 2025-12-25 19:27:49 +0000, Green, Green, holed,
 Dr, Driving,310.5024905,166.2450704,0, 25 Handicap, 2025-12-25 19:27:49 +0000, Tee, Recovery, Center, #pull#normal
 4H, Approach,162.9285973,152.1637207,5, Pro, 2025-12-25 19:27:49 +0000, Recovery, Rough, Center, #straight#normal#intended
 Pu, Short,13.64332417,13.75067054,-3, Pro, 2025-12-25 19:27:49 +0000, Rough, Green, ,
 Pu, Putting,1.392876193,1.392876193,3, Pro, 2025-12-25 19:27:49 +0000, Green, Green, holed,
 Dr, Driving,373.1218246,187.3096846,-5, 15 Handicap, 2025-12-25 19:27:49 +0000, Tee, Rough, Center, #fade#straight#normal#intended
 6I, Approach,188.8839266,133.3479007,4, 10 Handicap, 2025-12-25 19:27:49 +0000, Rough, Rough, Center, #straight#normal#intended
 SW, Approach,67.72063828,49.82742931,5, 15 Handicap, 2025-12-25 19:27:49 +0000, Rough, Rough, Center, #straight#high#intended
 Pu, Short,17.89334891,13.18106834,-4, 5 Handicap, 2025-12-25 19:27:49 +0000, Rough, Green, ,
 Pu, Putting,4.713070667,4.713039653,6, 25 Handicap, 2025-12-25 19:27:49 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,6, Pro, 2025-12-25 19:27:49 +0000, Green, Green, holed,
 Dr, Driving,430.3142202,172.0689587,41, 25 Handicap, 2025-12-28 19:05:18 +0000, Tee, Rough, Center, #slice#straight#normal
 4H, Approach,266.9584891,80.73664533,-5, 5 Handicap, 2025-12-28 19:05:18 +0000, Rough, Fairway, , #straight#normal#intended
 4H, Approach,186.5650633,145.1075224,6, 15 Handicap, 2025-12-28 19:05:18 +0000, Fairway, Rough, Center, #straight#normal#intended
 SW, Approach,46.59547844,37.20335103,-5, 5 Handicap, 2025-12-28 19:05:18 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,9.392848048,9.392848048,-7, Elite Am, 2025-12-28 19:05:18 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,-6, Pro, 2025-12-28 19:05:18 +0000, Green, Green, holed,
 Dr, Driving,284.1380424,172.6056021,4, 10 Handicap, 2025-12-28 19:05:18 +0000, Tee, Rough, Center, #straight#low#intended
 6I, Approach,123.0044955,75.46900355,-3, 10 Handicap, 2025-12-28 19:05:18 +0000, Rough, Fairway, ,
 SW, Approach,51.6723666,40.07410208,-4, 20 Handicap, 2025-12-28 19:05:18 +0000, Fairway, Sand, ,
 SW, Short,12.69740622,18.10460298,-6, 10 Handicap, 2025-12-28 19:05:18 +0000, Sand, Green, ,
 Pu, Putting,5.409155666,5.409120152,-7, 25 Handicap, 2025-12-28 19:05:18 +0000, Green, Green, long,
 Pu, Putting,0.6096,0,-7, Pro, 2025-12-28 19:05:18 +0000, Green, Green, holed,
 Dr, Approach,179.9758814,158.5579482,3, 10 Handicap, 2025-12-28 19:05:18 +0000, Tee, Rough, ,
 SW, Short,24.44847615,42.25316532,-7, 20 Handicap, 2025-12-28 19:05:18 +0000, Rough, Rough, Low, #straight#low
 PW, Short,20.09741239,16.65462945,-3, Elite Am, 2025-12-28 19:05:18 +0000, Rough, Green, , #straight#low#intended
 Pu, Putting,3.448179924,3.448179924,-5, Pro, 2025-12-28 19:05:18 +0000, Green, Green, holed,
 Dr, Driving,310.8118007,182.1043855,-5, Elite Am, 2025-12-28 19:05:18 +0000, Tee, Fairway, Center, #straight#normal#intended
 5H, Approach,133.9609753,116.753953,-4, 15 Handicap, 2025-12-28 19:05:18 +0000, Fairway, Rough, Center, #fade#straight#normal
 PW, Short,23.44896883,33.42609328,5, 10 Handicap, 2025-12-28 19:05:18 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,10.22427581,11.36219935,-4, 25 Handicap, 2025-12-28 19:05:18 +0000, Green, Green, left,
 Pu, Putting,1.425081957,1.425081957,3, Pro, 2025-12-28 19:05:18 +0000, Green, Green, holed,
 5H, Approach,148.0667158,124.3991741,7, 10 Handicap, 2025-12-28 19:05:18 +0000, Tee, Fairway, Center, #fade#straight#normal
 PW, Short,24.64199023,20.7187081,-7, 5 Handicap, 2025-12-28 19:05:18 +0000, Fairway, Green, Center, #straight#low#intended
 Pu, Putting,3.949758224,3.949758224,-5, 25 Handicap, 2025-12-28 19:05:18 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,6, Pro, 2025-12-28 19:05:18 +0000, Green, Green, holed,
 Dr, Driving,395.0187967,176.6022992,7, 20 Handicap, 2025-12-28 19:05:18 +0000, Tee, Rough, Center, #straight#normal#intended
 4H, Approach,218.4420256,131.2672783,-5, 5 Handicap, 2025-12-28 19:05:18 +0000, Rough, Fairway, Center, #straight#high
 PW, Approach,98.4236461,76.55081307,-4, 20 Handicap, 2025-12-28 19:05:18 +0000, Fairway, Rough, Center, #straight#normal#intended
 8I, Short,22.40329054,10.64996086,7, 10 Handicap, 2025-12-28 19:05:18 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,11.79890685,9.625825222,7, 25 Handicap, 2025-12-28 19:05:18 +0000, Green, Green, short,
 Pu, Putting,2.269628249,2.269628249,-3, Pro, 2025-12-28 19:05:18 +0000, Green, Green, holed,
 Dr, Driving,305.3165175,192.947788,-4, Elite Am, 2025-12-28 19:05:18 +0000, Tee, Fairway, ,
 7I, Approach,116.676351,100.8235216,7, 20 Handicap, 2025-12-28 19:05:18 +0000, Fairway, Rough, Center, #fade#straight#normal
 SW, Short,23.45290936,35.97165057,6, 20 Handicap, 2025-12-28 19:05:18 +0000, Rough, Rough, Low, #straight#low
 PW, Short,13.80960737,9.33036218,-5, 5 Handicap, 2025-12-28 19:05:18 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,4.687014759,4.687014759,-4, Pro, 2025-12-28 19:05:18 +0000, Green, Green, ,
 Dr, Driving,361.4931851,203.5177691,3, 10 Handicap, 2025-12-28 19:05:18 +0000, Tee, Rough, ,
 7I, Approach,157.9774556,109.4538499,3, 15 Handicap, 2025-12-28 19:05:18 +0000, Rough, Rough, Low, #straight#low
 SW, Approach,49.35569848,66.6507432,6, 15 Handicap, 2025-12-28 19:05:18 +0000, Rough, Rough, Low, #straight#low
 PW, Short,19.3518438,19.3518438,7, Pro, 2025-12-28 19:05:18 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,0.6096,0,7, Pro, 2025-12-28 19:05:18 +0000, Green, Green, holed,
 Dr, Driving,414.0263525,202.609339,-6, 15 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #fade#straight#normal
 4H, Approach,215.5232071,149.9021473,-5, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Rough, Center, #fade#straight#normal
 PW, Approach,69.37390335,72.96682161,3, Pro, 2025-12-29 04:46:52 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,3,11.18046425,-6, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, left,
 Pu, Putting,0.998609619,0.998609619,-5, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,292.1775591,183.4562283,3, 10 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #straight#normal#intended
 7I, Approach,112.0523485,98.926798,3, 10 Handicap, 2025-12-29 04:46:52 +0000, Rough, Sand, Center, #straight#normal#intended
 SW, Short,16.21381709,14.48388563,4, 0 Handicap, 2025-12-29 04:46:52 +0000, Sand, Green, , #straight#high#intended
 Pu, Putting,3.064978819,3.064978819,4, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, left,
 Pu, Putting,0.7,0,4, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,-6, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Approach,357.1374196,199.9372017,6, 5 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #straight#normal#intended
 4H, Approach,161.2839987,66.87095603,-7, 10 Handicap, 2025-12-29 04:46:52 +0000, Rough, Fairway, High, #straight#high
 8I, Approach,94.53132961,82.3831722,-6, 15 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Sand, Low, #straight#low
 SW, Short,14.79182113,15.09318453,-4, 10 Handicap, 2025-12-29 04:46:52 +0000, Sand, Green, Center, #straight#low#intended
 Pu, Putting,7.990220981,7.990302309,5, 5 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, right,
 Pu, Putting,0.6096,0,-5, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,380.8056943,169.9072357,4, 15 Handicap, 2025-12-29 04:46:52 +0000, Tee, Fairway, ,
 4H, Approach,226.3941993,96.36708602,4, 15 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Rough, Low, #straight#low
 5H, Approach,144.3947838,107.9216506,0, 15 Handicap, 2025-12-29 04:46:52 +0000, Rough, Sand, Center, #pull#normal
 SW, Short,37.69002417,9.674181468,-5, 20 Handicap, 2025-12-29 04:46:52 +0000, Sand, Rough, Center, #straight#normal#intended
 SW, Short,28.67705039,6.559473097,-6, 10 Handicap, 2025-12-29 04:46:52 +0000, Rough, Green, Center, #straight#normal#intended
 , Putting,22.34121751,22.88403867,3, Pro, 2025-12-29 04:46:52 +0000, Green, Green, short,
 Pu, Putting,0.610426608,0.610426608,-3, Pro, 2025-12-29 04:46:52 +0000, Green, Green, ,
 Dr, Approach,393.6142401,194.4285595,-5, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Rough, Center, #fade#straight#normal#intended
 6I, Approach,203.3424585,98.59022928,4, 15 Handicap, 2025-12-29 04:46:52 +0000, Rough, Rough, Center, #straight#high#intended
 8I, Approach,120.4067727,89.33686429,3, 15 Handicap, 2025-12-29 04:46:52 +0000, Rough, Rough, Low, #straight#normal
 PW, Short,36.82226227,36.82226227,-6, Pro, 2025-12-29 04:46:52 +0000, Rough, Green, Low, #straight#low#intended
 Pu, Putting,3,14.14982741,-4, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, short,
 Pu, Putting,14.14982741,14.14982741,4, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 7I, Approach,107.8021006,116.6813667,-3, 15 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #straight#normal#intended
 SW, Short,17.92671068,17.02815907,4, Elite Am, 2025-12-29 04:46:52 +0000, Rough, Green, , #straight#low#intended
 Pu, Putting,3.433102117,3.433102118,-4, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, left,
 Pu, Putting,0.6096,0,5, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,465.4313799,158.2827397,43, 20 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #slice#straight#normal
 4H, Approach,317.8303333,180.2153831,-20, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Rough, Center, #draw#straight#normal#intended
 5H, Approach,147.15774,150.7921337,3, Pro, 2025-12-29 04:46:52 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,5.018121757,5.018121757,-4, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, left,
 Pu, Putting,0.6096,0,3, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,252.2950769,153.6214201,32, 15 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #slice#straight#normal
 7I, Approach,102.3062121,83.34665894,-7, 15 Handicap, 2025-12-29 04:46:52 +0000, Rough, Rough, Low, #straight#low
 PW, Short,21.8227222,16.84923198,-4, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Green, Center, #straight#normal#intended
 Pu, Putting,4.974123884,6.788564288,-4, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, long,
 Pu, Putting,1.816127119,1.816127119,6, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,424.9369971,169.7352285,-7, 15 Handicap, 2025-12-29 04:46:52 +0000, Tee, Fairway, Center, #fade#straight#normal#intended
 4H, Approach,255.3459374,153.553903,3, 10 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Rough, Center, #straight#normal#intended
 6I, Approach,108.9503819,85.80579533,-4, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Green, Center, #straight#low#intended
 , Putting,23.29259335,16.71628035,3, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, short,
 Pu, Putting,6.58169241,6.58169241,4, 15 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, left,
 Pu, Putting,0.6096,0,-3, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,403.2724399,171.6952635,34, 25 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #slice#straight#normal
 4H, Approach,231.7062462,132.1320054,18, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Fairway, Toe, #fade#push#normal
 7I, Approach,107.8153638,98.33355071,6, 15 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Rough, Center, #fade#straight#normal
 9I, Short,16.5807882,29.75751457,-4, 10 Handicap, 2025-12-29 04:46:52 +0000, Rough, Green, Low, #straight#low
 Pu, Putting,13.42205734,13.25233501,-4, Elite Am, 2025-12-29 04:46:52 +0000, Green, Green, right,
 Pu, Putting,1.186847605,1.186847605,-3, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 4H, Approach,157.9604196,130.5285955,11, 15 Handicap, 2025-12-29 04:46:52 +0000, Tee, Sand, Toe, #fade#push#normal
 SW, Short,28.72720461,13.35307146,-4, 20 Handicap, 2025-12-29 04:46:52 +0000, Sand, Rough, Center, #straight#low#intended
 Pu, Short,16.17915721,10.81272069,-4, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Green, ,
 Pu, Putting,5.43883932,5.43883932,-7, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,-6, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,262.1894364,165.7589823,5, 5 Handicap, 2025-12-29 04:46:52 +0000, Tee, Fairway, Center, #fade#straight#normal
 8I, Approach,105.0330318,80.13604016,7, 15 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Fairway, Center, #straight#normal#intended
 Pu, Short,28.07495107,35.08967047,-5, 15 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Green, ,
 Pu, Putting,17.05544055,18.30542511,-5, Pro, 2025-12-29 04:46:52 +0000, Green, Green, left,
 Pu, Putting,1.249985967,1.249985967,-7, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,5, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 5H, Approach,171.3961406,146.3693066,-18, 15 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #draw#straight#normal#intended
 8I, Short,39.75321576,30.35164619,3, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Green, Center, #low#intended
 Pu, Putting,9.585685778,9.585685778,6, Elite Am, 2025-12-29 04:46:52 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,3, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,467.6121224,118.4178047,0, 25 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Heel, #pull#normal
 4H, Approach,361.7626912,155.232442,4, 0 Handicap, 2025-12-29 04:46:52 +0000, Rough, Fairway, Center, #straight#normal#intended
 4H, Approach,210.9069567,167.3047588,7, 5 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Fairway, Center, #straight#normal#intended
 SW, Approach,51.7746016,52.18253757,-3, Elite Am, 2025-12-29 04:46:52 +0000, Fairway, Green, Center, #straight#high#intended
 Pu, Putting,4.080956427,4.080956427,4, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, left,
 Pu, Putting,0.6096,0,-3, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 7I, Approach,117.4389271,110.7083795,0, 15 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #pull#normal
 PW, Short,29.71420458,42.37727184,-5, 20 Handicap, 2025-12-29 04:46:52 +0000, Rough, Rough, Center, #straight#low#intended
 , Short,19.76983472,17.80102049,4, 5 Handicap, 2025-12-29 04:46:52 +0000, Rough, Green, ,
 Pu, Putting,6.171776444,6.171776444,-5, 20 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, left,
 Pu, Putting,0.6096,0,-5, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,287.2288992,177.4199741,6, 0 Handicap, 2025-12-29 04:46:52 +0000, Tee, Fairway, Center, #straight#normal#intended
 5H, Approach,131.1194083,115.1408298,0, 15 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Sand, Center, #pull#normal
 SW, Short,19.95913522,25.99257078,-4, 20 Handicap, 2025-12-29 04:46:52 +0000, Sand, Rough, , #straight#low
 SW, Short,14.09910321,16.14425957,-7, Elite Am, 2025-12-29 04:46:52 +0000, Rough, Green, Center, #straight#low#intended
 Pu, Putting,2.916570322,2.916570322,-6, 25 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, short,
 Pu, Putting,0.6096,0,6, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,282.4089378,134.3183296,-4, 20 Handicap, 2025-12-29 04:46:52 +0000, Tee, Rough, Center, #fade#straight#normal
 4H, Approach,153.4765041,72.38170208,13, 25 Handicap, 2025-12-29 04:46:52 +0000, Rough, Sand, Toe, #push#normal
 PW, Approach,81.70150414,49.71538149,-5, 5 Handicap, 2025-12-29 04:46:52 +0000, Sand, Fairway, Center, #straight#normal#intended
 SW, Short,33.95481462,39.96531697,7, 5 Handicap, 2025-12-29 04:46:52 +0000, Fairway, Green, Center, #straight#high#intended
 Pu, Putting,7.028244658,7.028244658,-6, 15 Handicap, 2025-12-29 04:46:52 +0000, Green, Green, long,
 Pu, Putting,0.6096,0,5, Pro, 2025-12-29 04:46:52 +0000, Green, Green, holed,
 Dr, Driving,405.66827,131.6573031,-6, 25 Handicap, 2025-12-29 04:46:52 +0000, Tee, Fairway, Low, #straight#low
